variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
1.2 TSI HIGHLINE PLUS AT,Automatic,48179,1st Owner,Petrol,HR-51,850000,2019,VOLKSWAGEN,VENTO
SV MT PETROL,Manual,62994,1st Owner,Petrol,DL-1C,542000,2014,HONDA,CITY
ASTA 1.2,Manual,62683,1st Owner,Petrol,DL-12,572000,2015,Hyundai,Elite
1.0 TURBO GDI SX+ AT,Automatic,57801,1st Owner,Petrol,HR-76,929000,2019,HYUNDAI,VENUE
SX 1.6 DIESEL,Manual,61764,2nd Owner,Diesel,DL-5C,993000,2018,HYUNDAI,CRETA
HIGHLINE PLUS DSG 1.5,Automatic,59657,1st Owner,Diesel,DL-8C,759000,2019,Volkswagen,Ameo
HIGHLINE A/T,Automatic,68377,1st Owner,Diesel,DL-1C,1996000,2018,VOLKSWAGEN,TIGUAN
1.5 VXMT I DTEC,Manual,52767,1st Owner,Diesel,DL-10,645000,2018,HONDA,AMAZE
N8 1.0 TURBO GDI DCT,Automatic,14958,1st Owner,Petrol,HR-14,1144000,2022,Hyundai,NEW
LXI,Manual,11175,1st Owner,Petrol,DL-3C,591000,2020,Maruti,Swift
COMFORTLINE 1.0 PETROL,Manual,27132,1st Owner,Petrol,DL-10,662000,2018,Volkswagen,Polo
1.6 SX VTVT AT (O),Automatic,42423,1st Owner,Petrol,DL-12,933000,2017,Hyundai,Verna
LXI,Manual,14058,1st Owner,Petrol,DL-2C,562000,2019,Maruti,Swift
LX D 4*4 MT HT,Manual,16749,2nd Owner,Diesel,HR-24,1500000,2021,Mahindra,Thar
LXI,Manual,27997,2nd Owner,Petrol,HR-36,336000,2018,Maruti,ALTO
Sportz1.2 CRDI,Manual,68845,1st Owner,Diesel,UP-83,500000,2017,HYUNDAI,GRAND
G SP,Manual,78652,1st Owner,Petrol,HR-29,361000,2014,Toyota,Etios
LXI,Manual,51768,1st Owner,Petrol,DL-1C,546000,2020,Maruti,SWIFT
1.2 W6 AT,Automatic,6970,1st Owner,Petrol,DL-12,1122000,2022,MAHINDRA,XUV
HIGHLINE A/T,Automatic,75468,1st Owner,Diesel,DL-1C,1865000,2018,VOLKSWAGEN,TIGUAN
SPORTZ 1.0T GDI IMT,Manual,15840,1st Owner,Petrol,UP-14,793000,2021,Hyundai,NEW
1.2 i-VTEC S MT,Manual,50925,1st Owner,Petrol,UP-53,642000,2018,Honda,WR-V
ZXI,Manual,48929,1st Owner,Petrol,DL-3C,458000,2014,Maruti,SWIFT
MAGNA 1.2 KAPPA VTVT,Manual,30183,1st Owner,Petrol,DL-8C,465000,2017,Hyundai,Grand
ZXI + AT SMART HYBRID,Manual,9124,1st Owner,Petrol,UP-14,1295000,2022,Maruti,BREZZA
G MT,Manual,44145,1st Owner,Petrol,DL-1C,847000,2020,TOYOTA,YARIS
VDI,Manual,85262,1st Owner,Diesel,DL-12,585000,2018,Maruti,Dzire
ZDI Plus AMT,Automatic,82887,1st Owner,Diesel,DL-6C,625000,2018,Maruti,DZIRE
SX AT 1.6 PETROL,Automatic,26003,2nd Owner,Petrol,HR-26,1220000,2019,Hyundai,Creta
2.5 AT,Automatic,93626,1st Owner,Petrol,HR-26,1196000,2015,Toyota,Camry
LXI,Manual,29670,1st Owner,Petrol,HR-29,568000,2021,Maruti,Swift
LX D 4*4 MT HT,Manual,41433,1st Owner,Diesel,HR-54,1484250,2021,Mahindra,Thar
ASTA 1.1 MT,Manual,41819,1st Owner,Petrol,DL-5C,456000,2019,HYUNDAI,NEW
1.4 CRDI MT SX,Manual,40655,1st Owner,Diesel,DL-5C,928000,2019,Hyundai,VENUE
1.2 V MT,Manual,35734,1st Owner,Petrol,UP-16,471000,2016,Honda,Jazz
DELTA 1.2,Manual,32089,1st Owner,Petrol,DL-3C,487000,2018,Maruti,IGNIS
DELTA PETROL 1.2,Manual,42431,1st Owner,Petrol,HR-26,676000,2021,Maruti,Baleno
VXI,Manual,53883,1st Owner,Petrol,HR-26,366000,2019,Maruti,ALTO
G,Manual,77156,1st Owner,Petrol,DL-10,278000,2013,Toyota,Etios
ZXI+ DUAL TONE,Manual,30331,1st Owner,Petrol,HR-26,921000,2020,Maruti,Vitara
ZETA CVT PETROL 1.2,Automatic,35131,2nd Owner,Petrol,UP-16,758000,2020,Maruti,BALENO
RXL PETROL 104,Manual,33494,1st Owner,Petrol,DL-8C,687000,2017,Renault,Duster
VXI AMT,Automatic,91,1st Owner,Petrol,HR-26,777200,2022,Maruti,Swift
COMFORTLINE DIESEL 1.5,Manual,32652,1st Owner,Diesel,UP-14,759000,2019,VOLKSWAGEN,VENTO
VXI AMT,Automatic,24549,2nd Owner,Petrol,DL-5C,448000,2018,Maruti,Wagon
VXI ELATE LIMITED EDITION,Manual,52682,1st Owner,Petrol,DL-8C,316000,2014,Maruti,RITZ
ZXI,Manual,170,1st Owner,Petrol,HR-26,996000,2021,Maruti,Vitara
1.0 AMBITION TSI AT,Automatic,55243,1st Owner,Petrol,DL-10,932000,2020,Skoda,Rapid
2.0 LIMITED,Manual,47136,1st Owner,Diesel,HR-26,1621000,2019,Jeep,Compass
SIGMA PETROL 1.2,Manual,22354,1st Owner,Petrol,DL-12,603000,2020,Maruti,Baleno
ASTA 1.2 (O),Manual,40106,1st Owner,Petrol,DL-7C,614000,2016,HYUNDAI,ELITE
VXI,Manual,48863,1st Owner,Petrol,HR-26,404000,2018,Maruti,WAGON
VXI,Manual,48669,1st Owner,Petrol,DL-3C,380000,2013,Maruti,SWIFT
ZDI PLUS,Manual,50465,1st Owner,Diesel,UP-14,770000,2018,Maruti,VITARA
